AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
6531001,Allendorf (Lumda),4067,0.0,0.0
6531002,Biebertal,10048,19.9,2.0
6531003,Buseck,12879,15.5,2.0
6531004,Fernwald,6911,57.9,4.0
6531005,Gießen,89802,91.3,82.0
6531006,Grünberg,13612,51.4,7.0
6531007,Heuchelheim,7819,38.4,3.0
6531008,Hungen,12596,31.8,4.0
6531009,Langgöns,11690,42.8,5.0
6531010,Laubach,9598,10.4,1.0
6531011,Lich,13795,94.2,13.0
6531012,Linden,13091,53.5,7.0
6531013,Lollar,10309,116.4,12.0
6531014,Pohlheim,18138,71.7,13.0
6531015,Rabenau,5036,19.9,1.0
6531016,Reiskirchen,10248,29.3,3.0
6531017,Staufenberg,8471,23.6,2.0
6531018,Wettenberg,12578,15.9,2.0
