,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage,Neuzugänge letzten 7 Tage
57,Grünhain-Beierfeld,1,120.0,5.851,2051,Erzgebirgskreis,18,30,12
58,Niederwürschnitz,2,50.0,2.5789999999999997,1939,Erzgebirgskreis,8,13,5
59,Hohndorf,3,60.0,3.486,1721,Erzgebirgskreis,7,13,6
60,Sehmatal,4,90.0,6.377999999999999,1411,Erzgebirgskreis,22,31,9
61,Königswalde,5,30.0,2.22,1351,Erzgebirgskreis,5,8,3
62,Pockau-Lengefeld,6,90.0,7.539,1194,Erzgebirgskreis,0,9,9
63,Jöhstadt,7,30.0,2.62,1145,Erzgebirgskreis,5,8,3
64,Thermalbad Wiesenbad,8,30.0,3.242,925,Erzgebirgskreis,0,3,3
65,Ehrenfriedersdorf,9,40.0,4.68,855,Erzgebirgskreis,8,12,4
66,Drebach,10,40.0,5.127000000000001,78,Erzgebirgskreis,0,4,4
67,Gelenau/Erzgeb.,11,30.0,4.133,726,Erzgebirgskreis,4,7,3
68,Elterlein,12,20.0,2.8489999999999998,702,Erzgebirgskreis,2,4,2
69,Lauter-Bernsbach,13,50.0,8.628,58,Erzgebirgskreis,1,6,5
70,Oelsnitz/Erzgeb.,14,60.0,10.950999999999999,548,Erzgebirgskreis,2,8,6
71,Gornau/Erzgeb.,15,20.0,3.767,531,Erzgebirgskreis,4,6,2
72,Wolkenstein,16,20.0,3.8989999999999996,513,Erzgebirgskreis,4,6,2
73,Zwönitz,17,60.0,11.927,503,Erzgebirgskreis,11,17,6
74,Lugau/Erzgeb.,18,40.0,8.005,50,Erzgebirgskreis,5,9,4
75,Burkhardtsdorf,19,30.0,6.117999999999999,49,Erzgebirgskreis,17,20,3
76,Schwarzenberg/Erzgeb.,20,80.0,16.447,486,Erzgebirgskreis,3,11,8
77,Scheibenberg,21,10.0,2.083,48,Erzgebirgskreis,1,2,1
78,Bockau,22,10.0,2.225,449,Erzgebirgskreis,1,2,1
79,Schlettau,23,10.0,2.3680000000000003,422,Erzgebirgskreis,0,1,1
80,Eibenstock,24,30.0,7.261,413,Erzgebirgskreis,9,12,3
81,Annaberg-Buchholz,25,80.0,19.619,408,Erzgebirgskreis,30,38,8
82,Raschau-Markersbach,26,20.0,4.997,40,Erzgebirgskreis,1,3,2
83,Lößnitz,27,30.0,8.201,366,Erzgebirgskreis,11,14,3
84,Thalheim/Erzgeb.,28,20.0,5.952000000000001,336,Erzgebirgskreis,4,6,2
85,Großrückerswalde,29,10.0,3.3560000000000003,298,Erzgebirgskreis,1,2,1
86,Mildenau,30,10.0,3.3989999999999996,294,Erzgebirgskreis,3,4,1
87,Johanngeorgenstadt,31,10.0,3.897,257,Erzgebirgskreis,0,1,1
88,Crottendorf,32,10.0,4.052,247,Erzgebirgskreis,2,3,1
89,Marienberg,33,40.0,16.906,237,Erzgebirgskreis,0,4,4
90,Zschorlau,34,10.0,5.235,191,Erzgebirgskreis,6,7,1
91,Jahnsdorf/Erzgeb.,35,10.0,5.476,183,Erzgebirgskreis,4,5,1
92,Stollberg/Erzgeb.,36,20.0,11.3,177,Erzgebirgskreis,0,2,2
93,Zschopau,37,10.0,9.17,109,Erzgebirgskreis,9,10,1
94,Aue-Bad Schlema,38,20.0,20.352999999999998,98,Erzgebirgskreis,13,15,2
95,Olbernhau,39,10.0,10.84,92,Erzgebirgskreis,6,7,1
96,Schneeberg,40,10.0,13.873,72,Erzgebirgskreis,15,16,1
97,Amtsberg,41,6.0,3.6889999999999996,0,Erzgebirgskreis,5,5,0
98,Auerbach,41,6.0,2.455,0,Erzgebirgskreis,2,2,0
99,Bärenstein,41,6.0,2.282,0,Erzgebirgskreis,2,2,0
100,Börnichen/Erzgeb.,41,2.0,985.0,0,Erzgebirgskreis,0,0,0
101,Breitenbrunn/Erzgeb.,41,6.0,5.204,0,Erzgebirgskreis,8,8,0
102,Deutschneudorf,41,6.0,990.0,0,Erzgebirgskreis,1,1,0
103,Geyer,41,6.0,3.403,0,Erzgebirgskreis,6,6,0
104,Gornsdorf,41,6.0,1.911,0,Erzgebirgskreis,5,5,0
105,Großolbersdorf,41,6.0,2.7960000000000003,0,Erzgebirgskreis,4,4,0
106,Grünhainichen,41,6.0,3.346,0,Erzgebirgskreis,2,2,0
107,Heidersdorf,41,2.0,784.0,0,Erzgebirgskreis,0,0,0
108,Neukirchen/Erzgeb.,41,6.0,6.907,0,Erzgebirgskreis,8,8,0
109,Niederdorf,41,2.0,1.28,0,Erzgebirgskreis,0,0,0
110,Oberwiesenthal,41,2.0,2.0780000000000003,0,Erzgebirgskreis,0,0,0
111,Schönheide,41,6.0,4.3660000000000005,0,Erzgebirgskreis,3,3,0
112,Seiffen/Erzgeb.,41,6.0,2.0980000000000003,0,Erzgebirgskreis,3,3,0
113,Stützengrün,41,6.0,3.1460000000000004,0,Erzgebirgskreis,3,3,0
114,Tannenberg,41,6.0,1.101,0,Erzgebirgskreis,3,3,0
115,Thum,41,6.0,5.118,0,Erzgebirgskreis,2,2,0
