,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage,Neuzugänge letzten 7 Tage
0,Spreetal,1,30.0,1.845,1626,Bautzen,0,3,3
1,Steinigtwolmsdorf,2,40.0,2.8110000000000004,1423,Bautzen,0,4,4
2,Puschwitz,3,10.0,820.0,122,Bautzen,0,1,1
3,Panschwitz-Kuckau,4,20.0,2.09,957,Bautzen,0,2,2
4,Räckelwitz,5,10.0,1.131,884,Bautzen,1,2,1
5,Wilthen,6,40.0,4.881,82,Bautzen,3,7,4
6,Rammenau,7,10.0,1.338,747,Bautzen,0,1,1
7,Schmölln-Putzkau,8,20.0,3.0060000000000002,665,Bautzen,0,2,2
8,Schirgiswalde-Kirschau,9,40.0,6.185,647,Bautzen,5,9,4
9,Bischofswerda,10,60.0,10.937999999999999,549,Bautzen,8,14,6
10,Neschwitz,11,10.0,2.401,416,Bautzen,2,3,1
11,Burkau,12,10.0,2.605,384,Bautzen,0,1,1
12,Lauta,13,30.0,8.363,359,Bautzen,1,4,3
13,Radeberg,14,60.0,18.565,323,Bautzen,3,9,6
14,Weißenberg,15,10.0,3.096,323,Bautzen,0,1,1
15,Großröhrsdorf,16,30.0,9.615,312,Bautzen,3,6,3
16,Königswartha,17,10.0,3.458,289,Bautzen,1,2,1
17,Haselbachtal,18,10.0,4.013,249,Bautzen,3,4,1
18,Doberschau-Gaußig,19,10.0,4.135,242,Bautzen,1,2,1
19,Kamenz,20,40.0,16.914,236,Bautzen,2,6,4
20,Malschwitz,21,10.0,4.643,215,Bautzen,4,5,1
21,Ottendorf-Okrilla,22,20.0,9.98,20,Bautzen,1,3,2
22,Bautzen,23,60.0,38.425,156,Bautzen,28,34,6
23,Bernsdorf - Bautzen,24,10.0,6.422000000000001,156,Bautzen,1,2,1
24,Hoyerswerda,25,50.0,32.405,154,Bautzen,5,10,5
25,Sohland a.d. Spree,26,10.0,6.742999999999999,148,Bautzen,5,6,1
26,Pulsnitz,27,10.0,7.468,134,Bautzen,4,5,1
27,Arnsdorf,28,2.0,4.867,0,Bautzen,0,0,0
28,Crostwitz,28,2.0,1.025,0,Bautzen,0,0,0
29,Cunewalde,28,6.0,4.593,0,Bautzen,1,1,0
30,Demitz-Thumitz,28,6.0,2.634,0,Bautzen,2,2,0
31,Elsterheide,28,6.0,3.463,0,Bautzen,4,4,0
32,Elstra,28,6.0,2.7230000000000003,0,Bautzen,1,1,0
33,Frankenthal,28,2.0,923.0,0,Bautzen,0,0,0
34,Göda,28,6.0,3.063,0,Bautzen,1,1,0
35,Großdubrau,28,6.0,4.249,0,Bautzen,4,4,0
36,Großharthau,28,6.0,2.793,0,Bautzen,1,1,0
37,Großnaundorf,28,2.0,958.0,0,Bautzen,0,0,0
38,Großpostwitz/O.L.,28,6.0,2.741,0,Bautzen,1,1,0
39,Hochkirch,28,6.0,2.256,0,Bautzen,2,2,0
40,Königsbrück,28,6.0,4.539,0,Bautzen,1,1,0
41,Kubschütz,28,2.0,2.529,0,Bautzen,0,0,0
42,Laußnitz,28,2.0,1.8519999999999999,0,Bautzen,0,0,0
43,Lichtenberg,28,2.0,1.618,0,Bautzen,0,0,0
44,Lohsa,28,2.0,5.232,0,Bautzen,0,0,0
45,Nebelschütz,28,2.0,1.226,0,Bautzen,0,0,0
46,Neukirch,28,6.0,1.619,0,Bautzen,1,1,0
47,Neukirch/Lausitz,28,6.0,4.8469999999999995,0,Bautzen,5,5,0
48,Obergurig,28,2.0,2.07,0,Bautzen,0,0,0
49,Ohorn,28,2.0,2.454,0,Bautzen,0,0,0
50,Oßling,28,2.0,2.26,0,Bautzen,0,0,0
51,Radibor,28,6.0,3.1189999999999998,0,Bautzen,1,1,0
52,Ralbitz-Rosenthal,28,2.0,1.702,0,Bautzen,0,0,0
53,Schwepnitz,28,2.0,2.478,0,Bautzen,0,0,0
54,Steina,28,2.0,1.6269999999999998,0,Bautzen,0,0,0
55,Wachau,28,6.0,4.273,0,Bautzen,1,1,0
56,Wittichenau,28,6.0,5.729,0,Bautzen,2,2,0
