,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage
0,Neukirch,1,50.0,1.608,3109,Bautzen,0,5
1,Elsterheide,2,70.0,3.4360000000000004,2037,Bautzen,9,16
2,Weißenberg,3,60.0,3.036,1976,Bautzen,0,6
3,Steina,4,30.0,1.656,1812,Bautzen,1,4
4,Pulsnitz,5,130.0,7.388999999999999,1759,Bautzen,6,19
5,Malschwitz,6,70.0,4.645,1507,Bautzen,2,9
6,Wachau,7,60.0,4.275,1404,Bautzen,3,9
7,Lauta,8,110.0,8.184,1344,Bautzen,9,20
8,Demitz-Thumitz,9,30.0,2.637,1138,Bautzen,0,3
9,Großnaundorf,10,10.0,948.0,1055,Bautzen,0,1
10,Großharthau,11,30.0,2.866,1047,Bautzen,1,4
11,Crostwitz,12,10.0,1.0290000000000001,972,Bautzen,2,3
12,Radeberg,13,170.0,18.589000000000002,915,Bautzen,11,28
13,Königsbrück,14,40.0,4.5680000000000005,876,Bautzen,2,6
14,Großröhrsdorf,15,80.0,9.674,827,Bautzen,2,10
15,Doberschau-Gaußig,16,30.0,4.173,719,Bautzen,1,4
16,Radibor,17,20.0,3.1519999999999997,635,Bautzen,5,7
17,Arnsdorf,18,30.0,4.912,611,Bautzen,0,3
18,Lichtenberg,19,10.0,1.661,602,Bautzen,0,1
19,Ottendorf-Okrilla,20,60.0,9.972000000000001,602,Bautzen,5,11
20,Ralbitz-Rosenthal,21,10.0,1.712,584,Bautzen,0,1
21,Haselbachtal,22,20.0,3.977,503,Bautzen,0,2
22,Panschwitz-Kuckau,23,10.0,2.046,489,Bautzen,5,6
23,Sohland a.d. Spree,24,30.0,6.603,454,Bautzen,4,7
24,Ohorn,25,10.0,2.455,407,Bautzen,1,2
25,Kubschütz,26,10.0,2.5140000000000002,398,Bautzen,1,2
26,Lohsa,27,20.0,5.165,387,Bautzen,1,3
27,Elstra,28,10.0,2.702,37,Bautzen,1,2
28,Schmölln-Putzkau,29,10.0,2.967,337,Bautzen,2,3
29,Göda,30,10.0,2.986,335,Bautzen,0,1
30,Schirgiswalde-Kirschau,31,20.0,6.132999999999999,326,Bautzen,1,3
31,Hoyerswerda,32,100.0,31.523000000000003,317,Bautzen,7,17
32,Bernsdorf - Bautzen,33,20.0,6.32,316,Bautzen,1,3
33,Bautzen,34,120.0,37.94,316,Bautzen,8,20
34,Königswartha,35,10.0,3.3930000000000002,295,Bautzen,1,2
35,Cunewalde,36,10.0,4.578,218,Bautzen,4,5
36,Wilthen,37,10.0,4.724,212,Bautzen,3,4
37,Neukirch/Lausitz,38,10.0,4.775,209,Bautzen,0,1
38,Kamenz,39,20.0,17.006,118,Bautzen,3,5
39,Bischofswerda,40,10.0,10.712,93,Bautzen,6,7
40,Burkau,41,2.0,2.612,0,Bautzen,0,0
41,Frankenthal,41,6.0,911.0,0,Bautzen,1,1
