AGS,last7,last14,mix,Gemeinde
07137003,4,13,4.0,Andernach
07137203,2,2,2.0,Bendorf
07111000,2,7,2.0,Koblenz
07137068,0,0,0.2,Mayen
07137023,0,0,0.2,VG Maifeld
07137008,0,0,0.2,VG Mendig
07137056,0,6,0.6,VG Pellenz
07137201,2,2,2.0,VG Rhein-Mosel
07137218,0,0,0.2,VG Vallendar
07137001,0,0,0.2,VG Vordereifel
07137202,1,6,1.0,VG Weißenthurm
07137027,0,0,0.2,VG Maifeld
07137029,0,0,0.2,VG Maifeld
07137030,0,0,0.2,VG Maifeld
07137041,0,0,0.2,VG Maifeld
07137048,0,0,0.2,VG Maifeld
07137053,0,0,0.2,VG Maifeld
07137065,0,0,0.2,VG Maifeld
07137070,0,0,0.2,VG Maifeld
07137501,0,0,0.2,VG Maifeld
07137080,0,0,0.2,VG Maifeld
07137086,0,0,0.2,VG Maifeld
07137087,0,0,0.2,VG Maifeld
07137089,0,0,0.2,VG Maifeld
07137095,0,0,0.2,VG Maifeld
07137102,0,0,0.2,VG Maifeld
07137112,0,0,0.2,VG Maifeld
07137114,0,0,0.2,VG Maifeld
07137069,0,0,0.2,VG Mendig
07137093,0,0,0.2,VG Mendig
07137101,0,0,0.2,VG Mendig
07137106,0,0,0.2,VG Mendig
07137057,0,6,0.6,VG Pellenz
07137081,0,6,0.6,VG Pellenz
07137088,0,6,0.6,VG Pellenz
07137096,0,6,0.6,VG Pellenz
07137204,2,2,2.0,VG Rhein-Mosel
07137205,2,2,2.0,VG Rhein-Mosel
07137206,2,2,2.0,VG Rhein-Mosel
07137207,2,2,2.0,VG Rhein-Mosel
07137208,2,2,2.0,VG Rhein-Mosel
07137212,2,2,2.0,VG Rhein-Mosel
07137504,2,2,2.0,VG Rhein-Mosel
07137214,2,2,2.0,VG Rhein-Mosel
07137215,2,2,2.0,VG Rhein-Mosel
07137217,2,2,2.0,VG Rhein-Mosel
07137219,2,2,2.0,VG Rhein-Mosel
07137220,2,2,2.0,VG Rhein-Mosel
07137221,2,2,2.0,VG Rhein-Mosel
07137223,2,2,2.0,VG Rhein-Mosel
07137227,2,2,2.0,VG Rhein-Mosel
07137230,2,2,2.0,VG Rhein-Mosel
07137231,2,2,2.0,VG Rhein-Mosel
07137224,0,0,0.2,VG Vallendar
07137226,0,0,0.2,VG Vallendar
07137229,0,0,0.2,VG Vallendar
07137004,0,0,0.2,VG Vordereifel
07137006,0,0,0.2,VG Vordereifel
07137007,0,0,0.2,VG Vordereifel
07137011,0,0,0.2,VG Vordereifel
07137014,0,0,0.2,VG Vordereifel
07137019,0,0,0.2,VG Vordereifel
07137025,0,0,0.2,VG Vordereifel
07137034,0,0,0.2,VG Vordereifel
07137035,0,0,0.2,VG Vordereifel
07137036,0,0,0.2,VG Vordereifel
07137043,0,0,0.2,VG Vordereifel
07137049,0,0,0.2,VG Vordereifel
07137055,0,0,0.2,VG Vordereifel
07137060,0,0,0.2,VG Vordereifel
07137061,0,0,0.2,VG Vordereifel
07137063,0,0,0.2,VG Vordereifel
07137066,0,0,0.2,VG Vordereifel
07137074,0,0,0.2,VG Vordereifel
07137077,0,0,0.2,VG Vordereifel
07137079,0,0,0.2,VG Vordereifel
07137092,0,0,0.2,VG Vordereifel
07137097,0,0,0.2,VG Vordereifel
07137099,0,0,0.2,VG Vordereifel
07137105,0,0,0.2,VG Vordereifel
07137110,0,0,0.2,VG Vordereifel
07137113,0,0,0.2,VG Vordereifel
07137209,1,6,1.0,VG Weißenthurm
07137211,1,6,1.0,VG Weißenthurm
07137216,1,6,1.0,VG Weißenthurm
07137222,1,6,1.0,VG Weißenthurm
07137225,1,6,1.0,VG Weißenthurm
07137228,1,6,1.0,VG Weißenthurm
